爱情不卑微不施舍，别以为你是谁,华语-流行-民谣,10,50,394,109400,介绍：什么是幸福，幸福就是自己的一种愉快的心理状态和感受。时时、事事都能够使自己快乐的人才是最幸福的人。放假了吗？宝贝们祝你们有个愉快的假期。
爱情不卑微不施舍，别以为你是谁,华语-浪漫-放松,6,44,479,51003,介绍：嚼着樱桃味泡泡糖，再喝一口波子汽水。品味90%的甜蜜，和那10%的酸涩。
爱情不卑微不施舍，别以为你是谁,华语-流行-放松,221,60,8127,1868032,介绍：你是否已经听腻烂大街的欢庆新春歌曲？让这个耿直不失喜庆，意乱不失优雅，严谨不失情深的歌单陪你共渡猪猪年！
爱情不卑微不施舍，别以为你是谁,华语-流行-浪漫,15,36,1916,305951,介绍：“锅炉里翻炒着裂口的板栗，路边桂花树多了星星点点的花粒，铁炉里的烤红薯掰开来香气四溢，货杂货铺里堆着新鲜多汁的黄梨，到了昏黄街灯下有书贩在安静的收摊。离家一日比一日远，温度舒服到跺脚的秋天，真希望一抬头你就在马路对面。”
爱情不卑微不施舍，别以为你是谁,欧美-日语-华语,6539,196,183万,81346696,介绍：这里收录的是网易云优质热评点赞十万以上的歌有故事，有音乐，有感动，有触动第一首没达标，特别推荐冷门又超好听的歌其它都是，望能谅解欢迎收藏，（持续更新）
爱情不卑微不施舍，别以为你是谁,华语-摇滚,1398,300,15万,9215149,介绍：作为曾经的“非主流”音乐摇滚的发展从来都是艰难的摇滚是一种音乐形式的反传统工具摇滚是一种音乐形式的反主流意识在先驱者披荆斩棘后逐渐演变成文化、精神、信仰各个乐队都在摇滚编年史中留下了属于自己的浓重一笔为以后的摇滚乐蓬勃发展奠定无比扎实的基础而每一支摇滚乐队都有它独特的精神信仰作为一名听众我们只需要聆听乐器的嘶吼与歌手的咆哮在他们所创造的意境之中追寻那抹精神那股信仰
爱情不卑微不施舍，别以为你是谁,华语-流行-怀旧,589,292,83430,4050535,介绍：歌单简介：收集了网易云收录的S.H.E所演唱的所有歌曲，包括出版的专辑，EP，与他人合唱，期间单人的歌曲，演唱会翻唱等。live版只收录串烧，与他人合唱、以及与正式专辑演唱有巨大差异的版本。所有歌曲均按照演唱或出版的先后顺序排列。（持续更新与补充）歌手简介：S.H.E是中国台湾的女子流行演唱组合，由任家萱（Selina）、田馥甄（Hebe）、陈嘉桦（Ella）组成。2000年共同参加“宇宙美少女实力争霸战”后受宇宙音乐（现名华研国际音乐）相中并签约，2001年9月11日正式出道，当年以一首《恋人未满》走红，令首张专辑大卖75万张。其后更凭借《美丽新世界》、《Super Star》、《波斯猫》、《不想长大》、《中国话》等多首热门歌曲风靡大街小巷，并多次被全民欢唱。2010年发行专辑《SHERO》并宣布单飞不解散。如今S.H.E已跨足音乐、戏剧、主持、广告、书籍、配音等方面，各类获奖、代言无数，唱片销量超过1500万张，有“亚洲女子天团”美誉 。最新专辑《花又开好了》已于2012年11月16日发行 。2013年受中央电视台春节联欢晚会邀请并献唱歌曲《SHERO》 ，同年3月宣布举办全新巡回演唱会"2GETHER 4EVER WORLD TOUR"。2015年为电影《少年班》献唱主题曲《你曾是少年》。
爱情不卑微不施舍，别以为你是谁,华语-欧美-榜单,3489,100,72万,46608648,介绍：2018年热度最高的100首新歌出炉！歌单综合参考了2018年1月1日至2018年12月26日网易云音乐站内所有新上架歌曲的日均播放量及收藏量（注：曲目均为2018年1月1日至2018年12月26日第一次上架新歌，已排除新发行正式专辑中收录的部分2018年前已上线歌曲）。
爱情不卑微不施舍，别以为你是谁,华语-舞曲-驾车,49,397,25435,1903749,介绍：精心挑选出来的精品DJ，还等什么戴上你们的耳机来感受这节奏的震撼人心吧！DJ慢摇让你无论是驾车，还是心情差，带来的音乐感觉，一定会冲散驾车时带来的枯燥，即使在拥堵的城市里，听一听也不觉得乏味，即使心情再不好，跟着来一场节奏上的狂想，美好的一天还是会属于你的
爱情不卑微不施舍，别以为你是谁,华语-流行-清新,750,103,14万,5869023,介绍：可爱的三位小姐姐
